日期,游客量
1月1日,68024
1月2日,85173
1月3日,67753
1月4日,61689
1月5日,73670
1月6日,91068
1月7日,91353
1月8日,74719
1月9日,69469
1月10日,81212
1月11日,79996
1月12日,91575
1月13日,95043
1月14日,96818
1月15日,67084
1月16日,73024
1月17日,61200
1月18日,80900
1月19日,99791
1月20日,97999
1月21日,96799
1月22日,78534
1月23日,85828
1月24日,67541
1月25日,87718
1月26日,89759
1月27日,65348
1月28日,89760
1月29日,65880
1月30日,89732
1月31日,88128
2月1日,147572
2月2日,129054
2月3日,123345
2月4日,99325
2月5日,104319
2月6日,84123
2月7日,131900
2月8日,113164
2月9日,130943
2月10日,122854
2月11日,106556
2月12日,82806
2月13日,139592
2月14日,133254
2月15日,95054
2月16日,108978
2月17日,137688
2月18日,117541
2月19日,125899
2月20日,99719
2月21日,135762
2月22日,138090
2月23日,139687
2月24日,145075
2月25日,108912
2月26日,149698
2月27日,109291
2月28日,105363
3月1日,111891
3月2日,68205
3月3日,87705
3月4日,99481
3月5日,92937
3月6日,89382
3月7日,112651
3月8日,60921
3月9日,106946
3月10日,97640
3月11日,87125
3月12日,80173
3月13日,99371
3月14日,74951
3月15日,90865
3月16日,108846
3月17日,77427
3月18日,106250
3月19日,109874
3月20日,94422
3月21日,111894
3月22日,109967
3月23日,69387
3月24日,61868
3月25日,88333
3月26日,99634
3月27日,84152
3月28日,52741
3月29日,82888
3月30日,64707
3月31日,74102
