time,streamers_count,viewers_count
2019/3/6 0:00,18981,270126714
2019/3/6 1:00,13892,188527323
2019/3/6 2:00,10587,139727415
2019/3/6 3:00,7890,104173437
2019/3/6 4:00,6487,82368147
2019/3/6 5:00,5443,65856669
2019/3/6 6:00,4853,59062388
2019/3/6 7:00,4773,59871640
2019/3/6 8:00,5858,71374021
2019/3/6 9:00,7830,93140327
2019/3/6 10:00,9911,115152445
2019/3/6 11:00,11267,128426750
2019/3/6 12:00,13071,148432417
2019/3/6 13:00,17612,162476040
2019/3/6 14:00,22289,177804128
2019/3/6 15:00,23680,193932883
2019/3/6 16:00,24073,200714670
2019/3/6 17:00,23983,205169204
2019/3/6 18:00,22181,221588024
2019/3/6 19:00,25617,276252703
2019/3/6 20:00,30985,327783240
2019/3/6 21:00,33193,363431743
2019/3/6 22:00,32928,352375781
2019/3/6 23:00,27238,331629355
2019/3/7 0:00,19644,275985468
2019/3/7 1:00,14474,199045299
2019/3/7 2:00,11113,150084503
2019/3/7 3:00,8243,108723097
2019/3/7 4:00,6576,83076921
2019/3/7 5:00,5360,69889354
2019/3/7 6:00,4701,60023136
2019/3/7 7:00,4630,60172102
2019/3/7 8:00,5605,74224929
2019/3/7 9:00,7633,95881193
2019/3/7 10:00,9646,122324172
2019/3/7 11:00,11111,135354159
2019/3/7 12:00,12867,157147488
2019/3/7 13:00,17030,165030683
2019/3/7 14:00,21820,180484571
2019/3/7 15:00,23347,194126174
2019/3/7 16:00,24139,195065474
2019/3/7 17:00,24194,204929487
2019/3/7 18:00,25185,217184129
2019/3/7 19:00,28301,265774909
2019/3/7 20:00,32157,314903027
2019/3/7 21:00,33871,345165034
2019/3/7 22:00,33752,350909001
2019/3/7 23:00,27691,324511678
2019/3/8 0:00,19813,286768306
2019/3/8 1:00,14496,198865284
2019/3/8 2:00,11031,150347432
2019/3/8 3:00,8277,114283356
2019/3/8 4:00,6536,86990149
2019/3/8 5:00,5354,70738037
2019/3/8 6:00,4642,58818639
2019/3/8 7:00,4692,61321652
2019/3/8 8:00,5950,80061075
2019/3/8 9:00,7881,106715744
2019/3/8 10:00,9986,126421358
2019/3/8 11:00,11464,140243643
2019/3/8 12:00,13224,156421006
2019/3/8 13:00,17679,174574683
2019/3/8 14:00,22439,185722164
2019/3/8 15:00,23969,198033537
2019/3/8 16:00,24516,204350966
2019/3/8 17:00,24380,211853604
2019/3/8 18:00,25255,222112395
2019/3/8 19:00,28496,266892448
2019/3/8 20:00,31791,313001483
2019/3/8 21:00,33344,341578494
2019/3/8 22:00,33504,337820227
2019/3/8 23:00,28990,320724527
2019/3/9 0:00,21586,280592327
2019/3/9 1:00,16150,204710361
2019/3/9 2:00,12438,155785796
2019/3/9 3:00,9284,116765418
2019/3/9 4:00,7315,90218084
2019/3/9 5:00,5847,74025583
2019/3/9 6:00,5104,64536044
2019/3/9 7:00,5008,61199828
2019/3/9 8:00,6116,73759692
2019/3/9 9:00,8487,98458475
2019/3/9 10:00,11012,124098495
2019/3/9 11:00,12781,140184000
2019/3/9 12:00,14617,159313349
2019/3/9 13:00,18963,170796617
2019/3/9 14:00,24244,193221983
2019/3/9 15:00,26347,212625170
2019/3/9 16:00,27077,224119214
2019/3/9 17:00,26674,227412166
2019/3/9 18:00,26669,228584779
2019/3/9 19:00,29238,276104995
2019/3/9 20:00,32214,319852769
2019/3/9 21:00,33271,340182652
2019/3/9 22:00,33480,347265631
2019/3/9 23:00,29040,320146198
2019/3/10 0:00,22023,276464130
2019/3/10 1:00,16768,205627916
2019/3/10 2:00,12869,152719072
2019/3/10 3:00,9666,116532048
2019/3/10 4:00,7565,93044735
2019/3/10 5:00,6103,74211789
2019/3/10 6:00,5315,62816927
2019/3/10 7:00,5183,62397241
2019/3/10 8:00,6366,76271375
2019/3/10 9:00,8596,98046137
2019/3/10 10:00,11135,117742154
2019/3/10 11:00,12873,136800979
2019/3/10 12:00,14789,154143153
2019/3/10 13:00,20088,176332466
2019/3/10 14:00,25376,202390741
2019/3/10 15:00,26387,216627274
2019/3/10 16:00,26729,231095480
2019/3/10 17:00,26243,225453878
2019/3/10 18:00,26174,233443537
2019/3/10 19:00,28329,269927530
2019/3/10 20:00,31879,315050135
2019/3/10 21:00,33007,345594274
2019/3/10 22:00,32516,346078332
2019/3/10 23:00,26941,323249496
2019/3/11 0:00,19516,293894133
2019/3/11 1:00,14245,195541833
2019/3/11 2:00,11112,149439236
2019/3/11 3:00,8257,110721691
2019/3/11 4:00,6733,84336257
2019/3/11 5:00,5500,69466636
2019/3/11 6:00,4884,59830040
2019/3/11 7:00,4834,60718397
2019/3/11 8:00,5900,72752951
2019/3/11 9:00,7912,92282826
2019/3/11 10:00,10015,114819384
2019/3/11 11:00,11329,127796587
2019/3/11 12:00,13067,143476535
2019/3/11 13:00,17882,157001090
2019/3/11 14:00,22446,172503052
2019/3/11 15:00,25529,193080617
2019/3/11 16:00,18029,170305460
2019/3/11 17:00,21618,192920929
2019/3/11 18:00,23725,214295197
2019/3/11 19:00,27910,271598374
2019/3/11 20:00,28500,309258905
2019/3/11 21:00,31796,344461117
2019/3/11 22:00,30728,345218466
2019/3/11 23:00,25673,322986542
2019/3/12 0:00,18152,262499773
2019/3/12 1:00,14494,195734995
2019/3/12 2:00,10525,144503314
2019/3/12 3:00,8163,110602384
2019/3/12 4:00,6631,85264750
2019/3/12 5:00,5358,69346491
2019/3/12 6:00,4700,60756964
2019/3/12 7:00,4675,60645261
2019/3/12 8:00,5979,73009920
2019/3/12 9:00,8161,94881673
2019/3/12 10:00,10628,120751233
2019/3/12 11:00,11934,139140228
2019/3/12 12:00,13950,163077782
2019/3/12 13:00,17517,174396730
2019/3/12 14:00,22148,192800000
2019/3/12 15:00,21555,198270104
2019/3/12 16:00,22370,199540588
2019/3/12 17:00,23243,204788983
2019/3/12 18:00,26496,240534298
2019/3/12 19:00,27803,289206782
2019/3/12 20:00,29076,321628148
2019/3/12 21:00,30629,355804629
2019/3/12 22:00,29141,353453508
2019/3/12 23:00,21481,296986147
2019/3/13 0:00,19625,269938979
2019/3/13 1:00,14229,200198122
2019/3/13 2:00,10866,145304210
2019/3/13 3:00,8174,110934759
2019/3/13 4:00,6440,89940757
2019/3/13 5:00,5338,67502132
2019/3/13 6:00,4812,60842598
2019/3/13 7:00,4997,60928628
2019/3/13 8:00,6307,71609552
