support,itemsets
0.19951676865299262,frozenset({'1'})
0.09280991351532623,"frozenset({'11', '1'})"
0.024590859412405228,"frozenset({'11', '1', '148'})"
0.022729247011622197,"frozenset({'11', '1', '148', '218'})"
0.02267066127139137,"frozenset({'1', '148', '11', '6', '218'})"
0.010650483534376698,"frozenset({'3', '11', '1', '148'})"
0.010598968486932349,"frozenset({'1', '148', '11', '6', '3'})"
0.024486819218547035,"frozenset({'6', '11', '1', '148'})"
0.026050452423328437,"frozenset({'11', '1', '218'})"
0.011288866083098823,"frozenset({'3', '11', '1', '218'})"
0.011203007670691574,"frozenset({'1', '11', '6', '3', '218'})"
0.02586661441087998,"frozenset({'11', '1', '6', '218'})"
0.015229262163106742,"frozenset({'11', '1', '27'})"
0.015056535239322748,"frozenset({'11', '1', '27', '6'})"
0.010451494037385782,"frozenset({'1', '11', '6', '27', '7'})"
0.010488867699257174,"frozenset({'7', '11', '1', '27'})"
0.040674665303706455,"frozenset({'3', '11', '1'})"
0.038124165405726454,"frozenset({'3', '11', '1', '6'})"
0.08696144048193842,"frozenset({'11', '1', '6'})"
0.011757552004945444,"frozenset({'11', '1', '64', '6'})"
0.01821713491487896,"frozenset({'7', '11', '1', '6'})"
0.011454522314096336,"frozenset({'11', '1', '77', '6'})"
0.010128262367146734,"frozenset({'90', '11', '1', '6'})"
0.011914117345217485,"frozenset({'11', '1', '64'})"
0.01840400322423591,"frozenset({'7', '11', '1'})"
0.011549471617229056,"frozenset({'11', '1', '77'})"
0.010148464346536674,"frozenset({'11', '1', '90'})"
0.01257573217023804,"frozenset({'138', '1'})"
0.01130603776558027,"frozenset({'138', '1', '6'})"
0.028332265995422233,"frozenset({'1', '148'})"
0.02552217066228149,"frozenset({'1', '148', '218'})"
0.010994927282975187,"frozenset({'3', '1', '148', '218'})"
0.010745432837509419,"frozenset({'1', '148', '6', '3', '218'})"
0.024958535437302146,"frozenset({'6', '1', '148', '218'})"
0.012287853963931386,"frozenset({'3', '1', '148'})"
0.011823208437962751,"frozenset({'3', '1', '6', '148'})"
0.027292874155809787,"frozenset({'6', '1', '148'})"
0.01081613976537421,"frozenset({'2', '1'})"
0.032451449593031124,"frozenset({'1', '218'})"
0.014068658447154651,"frozenset({'3', '1', '218'})"
0.01319189254163123,"frozenset({'3', '1', '6', '218'})"
0.0304868070973594,"frozenset({'1', '6', '218'})"
0.019992888903254742,"frozenset({'1', '27'})"
0.018008044428193076,"frozenset({'1', '27', '6'})"
0.012015127242167188,"frozenset({'7', '1', '27', '6'})"
0.01247674247122733,"frozenset({'7', '1', '27'})"
0.08551497875761867,"frozenset({'3', '1'})"
0.05838574063486741,"frozenset({'3', '1', '6'})"
0.010654523930254687,"frozenset({'3', '1', '7'})"
0.014792899408284023,"frozenset({'1', '4'})"
0.013093912941590017,"frozenset({'1', '55'})"
0.1334472051571613,"frozenset({'1', '6'})"
0.014142395671927935,"frozenset({'1', '64', '6'})"
0.02195248090407898,"frozenset({'7', '1', '6'})"
0.013349467980872765,"frozenset({'1', '77', '6'})"
0.010396948693032943,"frozenset({'1', '83', '6'})"
0.011033311043816073,"frozenset({'90', '1', '6'})"
0.015545423140559312,"frozenset({'1', '64'})"
0.024057527156510796,"frozenset({'7', '1'})"
0.014284819626627017,"frozenset({'1', '77'})"
0.010766644915868857,"frozenset({'1', '83'})"
0.011198967274813586,"frozenset({'1', '90'})"
0.36774168132993673,frozenset({'11'})
0.01597875559847354,"frozenset({'11', '135'})"
0.015906028472669753,"frozenset({'11', '6', '135'})"
0.017388853759891396,"frozenset({'11', '136'})"
0.017133298720608644,"frozenset({'11', '136', '6'})"
0.021783794376172977,"frozenset({'138', '11'})"
0.021220159151193633,"frozenset({'138', '11', '6'})"
0.05632210844018497,"frozenset({'11', '148'})"
0.05060393817386227,"frozenset({'11', '148', '218'})"
0.010025232272258036,"frozenset({'11', '27', '148', '218'})"
0.010011090886685078,"frozenset({'148', '11', '6', '27', '218'})"
0.02184844071022079,"frozenset({'3', '11', '148', '218'})"
0.02174541061533209,"frozenset({'148', '11', '6', '3', '218'})"
0.05036959521293896,"frozenset({'6', '11', '148', '218'})"
