support,itemsets
0.430769231,frozenset({'partial_paresis'})
0.375,frozenset({'muscle_stiffness'})
0.555769231,frozenset({'old'})
0.417307692,frozenset({'sudden_weight_loss'})
0.448076923,frozenset({'polydipsia'})
0.369230769,frozenset({'female'})
0.615384615,frozenset({'diabete'})
0.496153846,frozenset({'polyuria'})
0.459615385,frozenset({'delayed_healing'})
0.455769231,frozenset({'polyphagia'})
0.448076923,frozenset({'visual_blurring'})
0.586538462,frozenset({'weakness'})
0.486538462,frozenset({'itching'})
0.344230769,frozenset({'alopecia'})
0.630769231,frozenset({'male'})
0.259615385,"frozenset({'muscle_stiffness', 'diabete'})"
0.265384615,"frozenset({'muscle_stiffness', 'old'})"
0.267307692,"frozenset({'muscle_stiffness', 'visual_blurring'})"
0.282692308,"frozenset({'muscle_stiffness', 'weakness'})"
0.286538462,"frozenset({'sudden_weight_loss', 'polydipsia'})"
0.361538462,"frozenset({'sudden_weight_loss', 'diabete'})"
0.253846154,"frozenset({'sudden_weight_loss', 'old'})"
0.317307692,"frozenset({'polyuria', 'sudden_weight_loss'})"
0.25,"frozenset({'sudden_weight_loss', 'polyphagia'})"
0.313461538,"frozenset({'sudden_weight_loss', 'weakness'})"
0.432692308,"frozenset({'diabete', 'polydipsia'})"
0.286538462,"frozenset({'old', 'polydipsia'})"
0.371153846,"frozenset({'polyuria', 'polydipsia'})"
0.282692308,"frozenset({'polyphagia', 'polydipsia'})"
0.282692308,"frozenset({'visual_blurring', 'polydipsia'})"
0.344230769,"frozenset({'weakness', 'polydipsia'})"
0.301923077,"frozenset({'partial_paresis', 'polydipsia'})"
0.25,"frozenset({'itching', 'polydipsia'})"
0.332692308,"frozenset({'female', 'diabete'})"
0.369230769,"frozenset({'old', 'diabete'})"
0.467307692,"frozenset({'polyuria', 'diabete'})"
0.294230769,"frozenset({'delayed_healing', 'diabete'})"
0.363461538,"frozenset({'polyphagia', 'diabete'})"
0.336538462,"frozenset({'visual_blurring', 'diabete'})"
0.419230769,"frozenset({'weakness', 'diabete'})"
0.369230769,"frozenset({'partial_paresis', 'diabete'})"
0.296153846,"frozenset({'itching', 'diabete'})"
0.282692308,"frozenset({'male', 'diabete'})"
0.315384615,"frozenset({'polyuria', 'old'})"
0.319230769,"frozenset({'delayed_healing', 'old'})"
0.315384615,"frozenset({'polyphagia', 'old'})"
0.330769231,"frozenset({'visual_blurring', 'old'})"
0.380769231,"frozenset({'weakness', 'old'})"
0.290384615,"frozenset({'partial_paresis', 'old'})"
0.330769231,"frozenset({'itching', 'old'})"
0.251923077,"frozenset({'alopecia', 'old'})"
0.355769231,"frozenset({'male', 'old'})"
0.265384615,"frozenset({'polyuria', 'delayed_healing'})"
0.319230769,"frozenset({'polyuria', 'polyphagia'})"
0.280769231,"frozenset({'polyuria', 'visual_blurring'})"
0.355769231,"frozenset({'polyuria', 'weakness'})"
0.323076923,"frozenset({'polyuria', 'partial_paresis'})"
0.263461538,"frozenset({'polyuria', 'itching'})"
0.275,"frozenset({'delayed_healing', 'polyphagia'})"
0.25,"frozenset({'visual_blurring', 'delayed_healing'})"
0.351923077,"frozenset({'delayed_healing', 'weakness'})"
0.336538462,"frozenset({'delayed_healing', 'itching'})"
0.265384615,"frozenset({'delayed_healing', 'male'})"
0.276923077,"frozenset({'visual_blurring', 'polyphagia'})"
0.311538462,"frozenset({'polyphagia', 'weakness'})"
0.288461538,"frozenset({'polyphagia', 'partial_paresis'})"
0.257692308,"frozenset({'itching', 'polyphagia'})"
0.336538462,"frozenset({'visual_blurring', 'weakness'})"
0.282692308,"frozenset({'visual_blurring', 'partial_paresis'})"
0.290384615,"frozenset({'visual_blurring', 'itching'})"
0.319230769,"frozenset({'weakness', 'partial_paresis'})"
0.361538462,"frozenset({'itching', 'weakness'})"
0.340384615,"frozenset({'male', 'weakness'})"
0.294230769,"frozenset({'itching', 'male'})"
0.292307692,"frozenset({'male', 'alopecia'})"
0.280769231,"frozenset({'diabete', 'sudden_weight_loss', 'polydipsia'})"
0.251923077,"frozenset({'polyuria', 'sudden_weight_loss', 'polydipsia'})"
0.309615385,"frozenset({'polyuria', 'sudden_weight_loss', 'diabete'})"
0.284615385,"frozenset({'sudden_weight_loss', 'weakness', 'diabete'})"
0.25,"frozenset({'polyuria', 'sudden_weight_loss', 'weakness'})"
0.276923077,"frozenset({'diabete', 'old', 'polydipsia'})"
0.371153846,"frozenset({'diabete', 'polyuria', 'polydipsia'})"
0.280769231,"frozenset({'diabete', 'polyphagia', 'polydipsia'})"
0.269230769,"frozenset({'diabete', 'visual_blurring', 'polydipsia'})"
0.336538462,"frozenset({'diabete', 'weakness', 'polydipsia'})"
0.294230769,"frozenset({'diabete', 'partial_paresis', 'polydipsia'})"
0.25,"frozenset({'polyuria', 'polyphagia', 'polydipsia'})"
0.298076923,"frozenset({'polyuria', 'weakness', 'polydipsia'})"
0.269230769,"frozenset({'polyuria', 'partial_paresis', 'polydipsia'})"
0.259615385,"frozenset({'weakness', 'partial_paresis', 'polydipsia'})"
0.294230769,"frozenset({'old', 'polyuria', 'diabete'})"
0.269230769,"frozenset({'old', 'weakness', 'diabete'})"
0.3,"frozenset({'polyuria', 'polyphagia', 'diabete'})"
0.259615385,"frozenset({'polyuria', 'visual_blurring', 'diabete'})"
0.342307692,"frozenset({'polyuria', 'weakness', 'diabete'})"
0.309615385,"frozenset({'polyuria', 'partial_paresis', 'diabete'})"
0.267307692,"frozenset({'polyphagia', 'weakness', 'diabete'})"
0.257692308,"frozenset({'polyphagia', 'partial_paresis', 'diabete'})"
0.261538462,"frozenset({'visual_blurring', 'weakness', 'diabete'})"
0.282692308,"frozenset({'weakness', 'partial_paresis', 'diabete'})"
0.255769231,"frozenset({'visual_blurring', 'weakness', 'old'})"
0.25,"frozenset({'polyuria', 'weakness', 'partial_paresis'})"
