support,itemsets
0.3309021429714513,frozenset({'15'})
0.3306014771421228,frozenset({'14'})
0.31632469969787935,frozenset({'12'})
0.26550732509250324,frozenset({'9'})
0.1773249470197712,frozenset({'8'})
0.0844870980413076,frozenset({'7'})
0.3241371618115601,frozenset({'11'})
0.3131774073876504,frozenset({'10'})
0.3182256836510531,frozenset({'16'})
0.2684121449597253,frozenset({'17'})
0.2130993312610022,frozenset({'18'})
0.32244470415937226,frozenset({'13'})
0.16045371443535442,frozenset({'19'})
0.08012259406718426,frozenset({'21'})
0.06365386573815886,frozenset({'22'})
0.11187678520336164,frozenset({'20'})
0.040764467118312005,frozenset({'23'})
0.11816167092609925,"frozenset({'15', '14'})"
0.10411766702714237,"frozenset({'12', '14'})"
0.09651373121444748,"frozenset({'12', '15'})"
0.11212895654408876,"frozenset({'12', '11'})"
0.10888467525665708,"frozenset({'12', '13'})"
0.08602437332997105,"frozenset({'12', '16'})"
0.03747654079113909,"frozenset({'12', '14', '13'})"
0.033388455402043556,"frozenset({'12', '11', '14'})"
0.0332235741407989,"frozenset({'12', '15', '14'})"
0.03263194137986218,"frozenset({'12', '15', '13'})"
0.03762687370580334,"frozenset({'12', '11', '13'})"
0.07738750491006698,"frozenset({'12', '9'})"
0.07083105005116168,"frozenset({'14', '9'})"
0.06553060244703189,"frozenset({'15', '9'})"
0.10544156656595978,"frozenset({'10', '9'})"
0.09256627984229593,"frozenset({'11', '9'})"
0.07344490298677556,"frozenset({'13', '9'})"
0.058266128054546604,"frozenset({'16', '9'})"
0.044425801007715475,"frozenset({'17', '9'})"
0.040585037510486935,"frozenset({'11', '10', '9'})"
0.0677177038829537,"frozenset({'8', '9'})"
0.04520656227419754,"frozenset({'12', '8'})"
0.043485007928848886,"frozenset({'8', '14'})"
0.040682026487689676,"frozenset({'8', '15'})"
0.04388751218424026,"frozenset({'8', '13'})"
0.06059386350741238,"frozenset({'8', '10'})"
0.05224311257025639,"frozenset({'8', '11'})"
0.03674912346211853,"frozenset({'8', '16'})"
0.09170792739405166,"frozenset({'11', '15'})"
0.10046118258659903,"frozenset({'11', '14'})"
0.03005203458626927,"frozenset({'11', '15', '14'})"
0.11875330368703597,"frozenset({'11', '10'})"
0.10046118258659903,"frozenset({'12', '10'})"
0.0910968968376744,"frozenset({'10', '14'})"
0.09328399827359621,"frozenset({'10', '13'})"
0.08367724008166472,"frozenset({'15', '10'})"
0.07453602898030638,"frozenset({'10', '16'})"
0.040332866169759805,"frozenset({'12', '11', '10'})"
0.03149717034659011,"frozenset({'11', '10', '14'})"
0.03442138800925275,"frozenset({'11', '10', '13'})"
0.030876440892492567,"frozenset({'12', '10', '13'})"
0.1178804028922113,"frozenset({'15', '16'})"
0.10516029853207183,"frozenset({'14', '16'})"
0.09247898976281346,"frozenset({'16', '13'})"
0.0828237370822806,"frozenset({'11', '16'})"
0.04085175719779447,"frozenset({'14', '15', '16'})"
0.03318962799877794,"frozenset({'15', '16', '13'})"
0.031143160579800107,"frozenset({'14', '16', '13'})"
0.10136802952344466,"frozenset({'17', '16'})"
0.08971480391253533,"frozenset({'15', '17'})"
0.07935153169842248,"frozenset({'17', '14'})"
0.06624347142947204,"frozenset({'12', '17'})"
0.05650092866945672,"frozenset({'17', '10'})"
0.0718009398231891,"frozenset({'17', '13'})"
0.06328530762478844,"frozenset({'11', '17'})"
0.035934416053615505,"frozenset({'15', '17', '16'})"
0.07705289293871752,"frozenset({'17', '18'})"
0.07262534612941239,"frozenset({'18', '16'})"
0.06403697219810968,"frozenset({'15', '18'})"
0.057630850253868646,"frozenset({'18', '14'})"
0.03298595114665218,"frozenset({'18', '9'})"
0.052994777143577636,"frozenset({'18', '13'})"
0.04912006750432813,"frozenset({'12', '18'})"
0.04113302523168242,"frozenset({'18', '10'})"
0.046491666222133854,"frozenset({'11', '18'})"
0.10726980878623145,"frozenset({'15', '13'})"
0.10487903049818388,"frozenset({'11', '13'})"
0.11358379120212987,"frozenset({'14', '13'})"
0.04000795309613062,"frozenset({'15', '14', '13'})"
0.033412702646344244,"frozenset({'11', '14', '13'})"
0.04365958808781382,"frozenset({'15', '19'})"
0.03974123340882309,"frozenset({'19', '14'})"
0.05245648832010242,"frozenset({'19', '17'})"
0.052335252098598996,"frozenset({'19', '18'})"
0.0492994971121532,"frozenset({'19', '16'})"
0.03484813950894481,"frozenset({'12', '19'})"
0.03010537852373078,"frozenset({'19', '10'})"
0.03706433763802744,"frozenset({'19', '13'})"
0.03337390705546315,"frozenset({'11', '19'})"
