support,itemsets
0.139501779,frozenset({'酸奶'})
0.033451957,frozenset({'超高温杀菌的牛奶'})
0.031011693,frozenset({'洋葱'})
0.04209456,frozenset({'白面包'})
0.07981698,frozenset({'报纸'})
0.024504321,frozenset({'切片奶酪'})
0.028368073,frozenset({'冷冻餐饭'})
0.042907982,frozenset({'鸡'})
0.02806304,frozenset({'油'})
0.057651246,frozenset({'猪肉'})
0.174377224,frozenset({'苏打'})
0.023284189,frozenset({'猫食'})
0.02501271,frozenset({'冰淇淋'})
0.039654296,frozenset({'奶油乳酪'})
0.053279105,frozenset({'凝乳'})
0.063446873,frozenset({'本地蛋类'})
0.082765633,frozenset({'柑橘类水果'})
0.033248602,frozenset({'莓果'})
0.058566345,frozenset({'人造黄油'})
0.255516014,frozenset({'全脂牛奶'})
0.032943569,frozenset({'卫生用品'})
0.055414337,frozenset({'黄油'})
0.093950178,frozenset({'香肠'})
0.02104728,frozenset({'口香糖'})
0.049618709,frozenset({'巧克力'})
0.088967972,frozenset({'糕点'})
0.029893238,frozenset({'糖果'})
0.033248602,frozenset({'汉堡肉'})
0.064870361,frozenset({'黑面包'})
0.098525674,frozenset({'购物袋'})
0.104931368,frozenset({'热带水果'})
0.030401627,frozenset({'特色巧克力'})
0.038434164,frozenset({'威化饼'})
0.052465684,frozenset({'牛肉'})
0.071682766,frozenset({'酸奶油'})
0.033858668,frozenset({'糖'})
0.026029487,frozenset({'一般饮料'})
0.027961362,frozenset({'酪'})
0.037417387,frozenset({'长面包'})
0.037824098,frozenset({'咸点心'})
0.058057956,frozenset({'咖啡'})
0.183934926,frozenset({'面包卷'})
0.058973055,frozenset({'冷冻热狗肠'})
0.11052364,frozenset({'瓶装水'})
0.108998475,frozenset({'根茎类蔬菜'})
0.02236909,frozenset({'葡萄'})
0.024504321,frozenset({'硬奶酪'})
0.075648195,frozenset({'仁果类水果'})
0.077681749,frozenset({'罐装啤酒'})
0.037112354,frozenset({'甜点'})
0.052364006,frozenset({'餐巾'})
0.028368073,frozenset({'其他饮料'})
0.080528724,frozenset({'瓶装啤酒'})
0.048093543,frozenset({'冷冻蔬菜'})
0.072292832,frozenset({'水果/蔬菜汁'})
0.026029487,frozenset({'火腿'})
0.193492628,frozenset({'其他蔬菜'})
0.027351296,frozenset({'特制门锁'})
0.025826131,frozenset({'一般肉类'})
0.027351296,"frozenset({'报纸', '全脂牛奶'})"
0.022165735,"frozenset({'全脂牛奶', '猪肉'})"
0.021657346,"frozenset({'其他蔬菜', '猪肉'})"
0.027351296,"frozenset({'酸奶', '苏打'})"
0.040061007,"frozenset({'苏打', '全脂牛奶'})"
0.024300966,"frozenset({'香肠', '苏打'})"
0.02104728,"frozenset({'糕点', '苏打'})"
0.024605999,"frozenset({'购物袋', '苏打'})"
0.020843925,"frozenset({'热带水果', '苏打'})"
0.038332486,"frozenset({'面包卷', '苏打'})"
0.028978139,"frozenset({'瓶装水', '苏打'})"
0.032740214,"frozenset({'苏打', '其他蔬菜'})"
0.021657346,"frozenset({'柑橘类水果', '酸奶'})"
0.056024403,"frozenset({'酸奶', '全脂牛奶'})"
0.029283172,"frozenset({'酸奶', '热带水果'})"
0.020742247,"frozenset({'酸奶', '酸奶油'})"
0.034367056,"frozenset({'面包卷', '酸奶'})"
0.022979156,"frozenset({'酸奶', '瓶装水'})"
0.025826131,"frozenset({'酸奶', '根茎类蔬菜'})"
0.04341637,"frozenset({'酸奶', '其他蔬菜'})"
0.026131164,"frozenset({'凝乳', '全脂牛奶'})"
0.029994916,"frozenset({'本地蛋类', '全脂牛奶'})"
0.022267412,"frozenset({'本地蛋类', '其他蔬菜'})"
0.030503305,"frozenset({'柑橘类水果', '全脂牛奶'})"
0.028876462,"frozenset({'柑橘类水果', '其他蔬菜'})"
0.024199288,"frozenset({'人造黄油', '全脂牛奶'})"
0.027554652,"frozenset({'全脂牛奶', '黄油'})"
0.029893238,"frozenset({'香肠', '全脂牛奶'})"
0.033248602,"frozenset({'糕点', '全脂牛奶'})"
0.025216065,"frozenset({'黑面包', '全脂牛奶'})"
0.024504321,"frozenset({'购物袋', '全脂牛奶'})"
0.042297916,"frozenset({'热带水果', '全脂牛奶'})"
0.021250635,"frozenset({'牛肉', '全脂牛奶'})"
0.032231825,"frozenset({'全脂牛奶', '酸奶油'})"
0.056634469,"frozenset({'面包卷', '全脂牛奶'})"
0.020538892,"frozenset({'冷冻热狗肠', '全脂牛奶'})"
0.034367056,"frozenset({'瓶装水', '全脂牛奶'})"
0.048906965,"frozenset({'根茎类蔬菜', '全脂牛奶'})"
0.030096594,"frozenset({'全脂牛奶', '仁果类水果'})"
0.020437214,"frozenset({'全脂牛奶', '瓶装啤酒'})"
0.020437214,"frozenset({'冷冻蔬菜', '全脂牛奶'})"
0.026639553,"frozenset({'水果/蔬菜汁', '全脂牛奶'})"
0.074834774,"frozenset({'其他蔬菜', '全脂牛奶'})"
0.020030503,"frozenset({'其他蔬菜', '黄油'})"
