类型,价格,等级,混合性,干性,正常,油性,敏感性
保湿霜,175 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,179 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,68 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,175 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,38 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,68 ,4 ,1 ,0 ,1 ,1 ,1 
保湿霜,60 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,72 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,29 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,325 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,45 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,47 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,38 ,5 ,1 ,0 ,1 ,1 ,0 
保湿霜,105 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,58 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,90 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,30 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,40 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,230 ,4 ,0 ,1 ,1 ,0 ,1 
保湿霜,85 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,30 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,78 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,92 ,4 ,1 ,1 ,1 ,0 ,0 
保湿霜,38 ,5 ,0 ,1 ,1 ,0 ,0 
保湿霜,100 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,40 ,5 ,1 ,1 ,1 ,1 ,0 
保湿霜,34 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,28 ,4 ,1 ,1 ,0 ,0 ,0 
保湿霜,240 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,68 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,38 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,48 ,5 ,0 ,1 ,0 ,1 ,1 
保湿霜,38 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,54 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,25 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,35 ,4 ,0 ,1 ,1 ,0 ,1 
保湿霜,99 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,4 ,1 ,1 ,1 ,0 ,1 
保湿霜,63 ,4 ,0 ,1 ,1 ,0 ,0 
保湿霜,28 ,5 ,1 ,0 ,0 ,1 ,0 
保湿霜,55 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,80 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,45 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,48 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,32 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,65 ,4 ,1 ,1 ,1 ,0 ,1 
保湿霜,18 ,4 ,1 ,0 ,1 ,1 ,1 
保湿霜,10 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,58 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,245 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,72 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,37 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,57 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,29 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,100 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,30 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,120 ,4 ,1 ,1 ,1 ,0 ,1 
保湿霜,44 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,60 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,60 ,5 ,1 ,0 ,1 ,1 ,0 
保湿霜,52 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,72 ,4 ,1 ,0 ,1 ,1 ,0 
保湿霜,44 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,42 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,65 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,54 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,38 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,110 ,5 ,1 ,1 ,1 ,0 ,1 
保湿霜,49 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,82 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,5 ,1 ,1 ,1 ,0 ,1 
保湿霜,72 ,4 ,0 ,1 ,1 ,0 ,1 
保湿霜,52 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,38 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,195 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,59 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,45 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,52 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,145 ,5 ,1 ,1 ,1 ,1 ,0 
保湿霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,95 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,290 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,28 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,68 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,60 ,4 ,0 ,1 ,1 ,0 ,0 
