antecedents,consequents,support,confidence,lift
"frozenset({'1', '148'})",frozenset({'11'}),0.024590859,0.867945381,2.360203984
"frozenset({'11', '1', '218'})",frozenset({'148'}),0.022729247,0.872508724,12.35355656
"frozenset({'11', '1', '148'})",frozenset({'218'}),0.022729247,0.92429657,10.32817279
"frozenset({'1', '148', '218'})",frozenset({'11'}),0.022729247,0.890568726,2.421723648
"frozenset({'6', '11', '1', '148'})",frozenset({'218'}),0.022670661,0.925831202,10.34532091
"frozenset({'11', '1', '148', '218'})",frozenset({'6'}),0.022670661,0.997422451,1.641990212
"frozenset({'6', '1', '148', '218'})",frozenset({'11'}),0.022670661,0.908332996,2.47003003
"frozenset({'11', '1', '6', '218'})",frozenset({'148'}),0.022670661,0.876444861,12.40928699
"frozenset({'11', '1', '148'})","frozenset({'6', '218'})",0.022670661,0.921914151,11.75020088
"frozenset({'1', '148', '218'})","frozenset({'11', '6'})",0.022670661,0.888273242,2.714064824
"frozenset({'11', '1', '218'})","frozenset({'6', '148'})",0.022670661,0.870259791,13.30592947
"frozenset({'3', '1', '148'})",frozenset({'11'}),0.010650484,0.86674887,2.35695031
"frozenset({'3', '11', '1', '148'})",frozenset({'6'}),0.010598968,0.995163126,1.638270835
"frozenset({'6', '1', '3', '148'})",frozenset({'11'}),0.010598968,0.896454507,2.437728852
"frozenset({'3', '1', '148'})","frozenset({'11', '6'})",0.010598968,0.862556515,2.63548893
"frozenset({'1', '6', '148'})",frozenset({'11'}),0.024486819,0.897187269,2.439721452
"frozenset({'11', '1', '148'})",frozenset({'6'}),0.024486819,0.995769152,1.639268495
"frozenset({'1', '148'})","frozenset({'11', '6'})",0.024486819,0.864273236,2.640734268
"frozenset({'3', '11', '1', '218'})",frozenset({'6'}),0.011203008,0.992394417,1.633712893
"frozenset({'11', '1', '218'})",frozenset({'6'}),0.025866614,0.992943001,1.634615991
"frozenset({'11', '1', '27'})",frozenset({'6'}),0.015056535,0.988658221,1.627562243
"frozenset({'7', '11', '1', '27'})",frozenset({'6'}),0.010451494,0.996436826,1.640367642
"frozenset({'7', '1', '27', '6'})",frozenset({'11'}),0.010451494,0.869861286,2.365413904
"frozenset({'3', '11', '1'})",frozenset({'6'}),0.038124165,0.937295123,1.543006592
"frozenset({'11', '1'})",frozenset({'6'}),0.08696144,0.936984393,1.542495058
"frozenset({'11', '1', '64'})",frozenset({'6'}),0.011757552,0.986858838,1.624600039
"frozenset({'7', '11', '1'})",frozenset({'6'}),0.018217135,0.989846323,1.629518135
"frozenset({'11', '1', '77'})",frozenset({'6'}),0.011454522,0.991778905,1.632699617
"frozenset({'1', '77', '6'})",frozenset({'11'}),0.011454522,0.858050847,2.333297777
"frozenset({'11', '1', '90'})",frozenset({'6'}),0.010128262,0.998009356,1.642956394
"frozenset({'6', '1', '90'})",frozenset({'11'}),0.010128262,0.917971253,2.496239344
"frozenset({'1', '90'})","frozenset({'11', '6'})",0.010128262,0.904392532,2.763316334
"frozenset({'1', '90'})",frozenset({'11'}),0.010148464,0.906196446,2.46422011
"frozenset({'138', '1'})",frozenset({'6'}),0.011306038,0.899036145,1.480023382
"frozenset({'1', '148'})",frozenset({'218'}),0.025522171,0.900816428,10.06580358
"frozenset({'3', '1', '148'})",frozenset({'218'}),0.010994927,0.894780107,9.998353184
"frozenset({'6', '1', '3', '148'})",frozenset({'218'}),0.010745433,0.908842375,10.15548623
"frozenset({'3', '1', '148', '218'})",frozenset({'6'}),0.010745433,0.977308222,1.608877495
"frozenset({'3', '1', '148'})","frozenset({'6', '218'})",0.010745433,0.874475956,11.14558024
"frozenset({'1', '6', '148'})",frozenset({'218'}),0.024958535,0.914470762,10.21837833
"frozenset({'1', '148', '218'})",frozenset({'6'}),0.024958535,0.977915859,1.609877806
"frozenset({'1', '148'})","frozenset({'6', '218'})",0.024958535,0.880922671,11.22774646
"frozenset({'3', '1', '148'})",frozenset({'6'}),0.011823208,0.962186601,1.583983776
"frozenset({'1', '148'})",frozenset({'6'}),0.027292874,0.9633142,1.585840068
"frozenset({'3', '1', '218'})",frozenset({'6'}),0.013191893,0.937679495,1.543639357
"frozenset({'1', '218'})",frozenset({'6'}),0.030486807,0.939459022,1.546568875
"frozenset({'1', '27'})",frozenset({'6'}),0.018008044,0.900722478,1.48279948
"frozenset({'7', '1', '27'})",frozenset({'6'}),0.012015127,0.963001943,1.585326019
"frozenset({'1', '64'})",frozenset({'6'}),0.014142396,0.909746589,1.497655273
"frozenset({'7', '1'})",frozenset({'6'}),0.021952481,0.912499475,1.502187167
"frozenset({'1', '77'})",frozenset({'6'}),0.013349468,0.934521284,1.538440206
"frozenset({'1', '83'})",frozenset({'6'}),0.010396949,0.96566282,1.589706444
"frozenset({'1', '90'})",frozenset({'6'}),0.011033311,0.985207901,1.621882211
frozenset({'135'}),frozenset({'11'}),0.015978756,0.863812592,2.34896569
"frozenset({'11', '135'})",frozenset({'6'}),0.015906028,0.995448511,1.638740646
"frozenset({'6', '135'})",frozenset({'11'}),0.015906028,0.890214257,2.420759742
frozenset({'135'}),"frozenset({'11', '6'})",0.015906028,0.859880959,2.627313932
"frozenset({'11', '136'})",frozenset({'6'}),0.017133299,0.985303514,1.622039612
"frozenset({'138', '11'})",frozenset({'6'}),0.021220159,0.974125939,1.603638714
"frozenset({'11', '148'})",frozenset({'218'}),0.050603938,0.898473789,10.03962672
"frozenset({'148', '218'})",frozenset({'11'}),0.050603938,0.851673665,2.315956304
"frozenset({'11', '27', '148'})",frozenset({'218'}),0.010025232,0.918811331,10.26688024
"frozenset({'11', '27', '218'})",frozenset({'148'}),0.010025232,0.855161124,12.10793774
"frozenset({'27', '148', '218'})",frozenset({'11'}),0.010025232,0.91753721,2.49505905
"frozenset({'6', '11', '27', '148'})",frozenset({'218'}),0.010011091,0.919473049,10.27427434
"frozenset({'11', '27', '148', '218'})",frozenset({'6'}),0.010011091,0.998589421,1.643911316
"frozenset({'6', '27', '148', '218'})",frozenset({'11'}),0.010011091,0.927648821,2.522555554
"frozenset({'11', '27', '6', '218'})",frozenset({'148'}),0.010011091,0.857204636,12.13687114
"frozenset({'11', '27', '148'})","frozenset({'6', '218'})",0.010011091,0.917515275,11.69413527
"frozenset({'27', '148', '218'})","frozenset({'11', '6'})",0.010011091,0.916242951,2.799524568
"frozenset({'11', '27', '218'})","frozenset({'6', '148'})",0.010011091,0.853954851,13.05663336
"frozenset({'3', '11', '148'})",frozenset({'218'}),0.021848441,0.89354319,9.984531763
"frozenset({'3', '148', '218'})",frozenset({'11'}),0.021848441,0.852817096,2.319065635
"frozenset({'6', '11', '3', '148'})",frozenset({'218'}),0.021745411,0.898160123,10.03612179
"frozenset({'3', '11', '148', '218'})",frozenset({'6'}),0.021745411,0.995284327,1.638470361
"frozenset({'6', '3', '148', '218'})",frozenset({'11'}),0.021745411,0.877762375,2.386899335
"frozenset({'3', '11', '148'})","frozenset({'6', '218'})",0.021745411,0.889329533,11.3348956
"frozenset({'11', '148', '6'})",frozenset({'218'}),0.050369595,0.90287887,10.08884949
"frozenset({'148', '6', '218'})",frozenset({'11'}),0.050369595,0.877335585,2.385738767
"frozenset({'11', '148', '218'})",frozenset({'6'}),0.050369595,0.995369077,1.638609878
"frozenset({'11', '148'})","frozenset({'6', '218'})",0.050369595,0.894313026,11.39841241
"frozenset({'6', '11', '148', '7'})",frozenset({'218'}),0.012178763,0.912303269,10.19415857
